time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-28T14:19:00.295Z,38.3709,-118.9245,7.6,2.6,ml,21,53.82,0.152,0.1522,nn,nn00570917,2016-12-29T13:54:17.715Z,"29km ENE of Bridgeport, California",earthquake,,1.5,0.23,13,reviewed,nn,nn
2016-12-28T13:49:43.430Z,38.349,-118.8667,8.1,2.7,ml,25,55.5,0.134,0.1264,nn,nn00570909,2016-12-29T00:02:27.657Z,"28km SW of Hawthorne, Nevada",earthquake,,2.3,0.41,15,reviewed,nn,nn
2016-12-28T13:46:14.770Z,25.2486,141.1167,207.16,4.8,mb,,118,2.074,1.04,us,us10007nb4,2016-12-28T15:30:38.790Z,"55km NNW of Iwo Jima, Japan",earthquake,11.1,7.8,0.055,103,reviewed,us,us
2016-12-28T13:10:44.600Z,42.226,-111.3998333,-1.59,2.56,ml,20,100,0.5828,0.28,uu,uu60178262,2016-12-29T02:27:44.265Z,"0km SE of Paris, Idaho",earthquake,0.76,3.03,0.225,10,reviewed,uu,uu
2016-12-28T12:53:12.730Z,36.8086,140.6772,10,4.7,mb,,123,1.062,0.79,us,us10007naq,2016-12-28T13:42:04.339Z,"7km WNW of Kitaibaraki, Japan",earthquake,3.3,1.8,0.051,119,reviewed,us,us
2016-12-28T12:38:50.920Z,36.9179,140.4262,10,5.9,mww,,91,0.992,1.52,us,us10007naf,2016-12-29T17:05:21.462Z,"18km NNE of Daigo, Japan",earthquake,4.8,1.8,,,reviewed,us,us
2016-12-28T12:34:55.310Z,38.3643,-118.9059,5.8,2.6,ml,17,55.41,0.144,0.1762,nn,nn00570868,2016-12-28T20:38:16.260Z,"30km SW of Hawthorne, Nevada",earthquake,,4,0.34,10,reviewed,nn,nn
2016-12-28T12:31:54.950Z,38.4067,-118.9181,9.3,3.4,ml,24,57.72,0.13,0.1367,nn,nn00570867,2016-12-29T00:02:03.137Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.2,0.35,13,reviewed,nn,nn
2016-12-28T12:18:13.202Z,38.4047,-118.9212,8.4,4.1,ml,19,79.16,0.133,0.1338,nn,nn00570860,2016-12-29T07:45:55.336Z,"29km WSW of Hawthorne, Nevada",earthquake,,3.7,0.44,10,reviewed,nn,nn
2016-12-28T12:17:27.974Z,38.4054,-118.9179,9.8,2.8,ml,21,78.85,0.13,0.144,nn,nn00570859,2016-12-29T02:39:03.776Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.4,0.3,13,reviewed,nn,nn
2016-12-28T12:04:10.919Z,63.163,-149.6561,85,3.2,ml,,,,0.56,ak,ak14810143,2016-12-28T17:16:38.416Z,"43km SW of Cantwell, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2016-12-28T11:57:53.063Z,38.3753,-118.8956,0,2.5,ml,31,75.18,0.325,,nn,nn00570849,2016-12-28T20:00:57.501Z,"28km SW of Hawthorne, Nevada",earthquake,,,0.37,17,automatic,nn,nn
2016-12-28T11:45:48.246Z,38.3638,-118.9198,8.3,3.1,ml,22,54.98,0.153,0.1476,nn,nn00570846,2016-12-29T02:38:40.043Z,"29km ENE of Bridgeport, California",earthquake,,1.2,0.3,13,reviewed,nn,nn
2016-12-28T11:22:13.229Z,65.4643,-144.9571,5.2,2.5,ml,,,,0.59,ak,ak14810013,2016-12-28T13:41:14.548Z,"12km W of Circle Hot Springs Station, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-12-28T11:16:13.148Z,38.3559,-118.9105,6.3,2.6,ml,25,54.78,0.152,0.1421,nn,nn00570830,2016-12-29T02:38:29.916Z,"30km ENE of Bridgeport, California",earthquake,,3.2,0.37,16,reviewed,nn,nn
2016-12-28T10:56:52.198Z,38.3615,-118.9074,2.9,2.5,ml,25,55.2,0.147,0.197,nn,nn00570814,2016-12-30T21:30:01.488Z,"30km SW of Hawthorne, Nevada",earthquake,,2,0.31,18,reviewed,nn,nn
2016-12-28T10:50:54.189Z,38.3805,-118.8978,7.6,2.5,ml,28,56.64,0.129,0.1701,nn,nn00570809,2016-12-30T20:54:42.927Z,"28km SW of Hawthorne, Nevada",earthquake,,2.6,0.22,19,reviewed,nn,nn
2016-12-28T10:43:42.700Z,19.0951,-66.8226,26,2.6,Md,3,331.2,0.7465,0.07,pr,pr16363001,2016-12-28T11:50:36.680Z,"67km N of Hatillo, Puerto Rico",earthquake,1.2,8.2,0,3,reviewed,pr,pr
2016-12-28T10:31:50.354Z,38.3649,-118.9038,6.6,2.8,ml,27,54.52,0.142,0.174,nn,nn00570797,2016-12-30T04:55:36.658Z,"30km SW of Hawthorne, Nevada",earthquake,,2.5,0.22,19,reviewed,nn,nn
2016-12-28T10:04:56.102Z,38.3391,-118.9222,6.9,3.1,ml,30,52.55,0.171,0.1447,nn,nn00570775,2016-12-29T22:40:10.515Z,"28km ENE of Bridgeport, California",earthquake,,2.5,0.29,20,reviewed,nn,nn
2016-12-28T09:56:33.182Z,38.3941,-118.9112,9.2,2.9,ml,29,55.53,0.13,0.2118,nn,nn00570770,2016-12-30T00:35:15.111Z,"28km WSW of Hawthorne, Nevada",earthquake,,1.7,0.23,19,reviewed,nn,nn
2016-12-28T09:54:09.416Z,38.3414,-118.905,9.3,3,ml,14,107.29,0.159,0.1365,nn,nn00571017,2016-12-30T00:32:06.074Z,"30km ENE of Bridgeport, California",earthquake,,2.9,0.48,9,reviewed,nn,nn
2016-12-28T09:53:39.653Z,38.4104,-118.929,8.5,2.5,ml,14,131,0.136,0.1514,nn,nn00571347,2016-12-30T00:32:08.980Z,"29km WSW of Hawthorne, Nevada",earthquake,,4.4,0.3,12,reviewed,nn,nn
2016-12-28T09:52:14.867Z,60.4446,-143.2096,9.6,3.2,ml,,,,0.97,ak,ak14808785,2016-12-28T16:38:50.359Z,"60km NW of Cape Yakataga, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2016-12-28T09:45:18.997Z,38.3813,-118.8991,9.1,2.8,ml,21,75.85,0.129,0.1637,nn,nn00570764,2016-12-29T14:16:09.503Z,"28km WSW of Hawthorne, Nevada",earthquake,,1.2,0.38,14,reviewed,nn,nn
2016-12-28T09:37:46.262Z,38.3523,-118.8467,9.3,2.9,ml,17,55.55,0.123,0.1667,nn,nn00570755,2016-12-29T23:57:24.986Z,"27km SW of Hawthorne, Nevada",earthquake,,1.8,0.32,12,reviewed,nn,nn
2016-12-28T09:33:22.435Z,38.3851,-118.9025,8.1,3,ml,17,56.78,0.129,0.1614,nn,nn00570752,2016-12-29T02:37:41.729Z,"28km WSW of Hawthorne, Nevada",earthquake,,4.2,0.34,10,reviewed,nn,nn
2016-12-28T09:23:01.885Z,38.3438,-118.9011,7.5,3.2,ml,14,87.13,0.156,0.2142,nn,nn00570824,2016-12-29T22:43:09.444Z,"30km ENE of Bridgeport, California",earthquake,,3.9,0.23,11,reviewed,nn,nn
2016-12-28T09:22:35.191Z,38.4095,-118.9311,8.6,3.1,ml,24,49.77,0.138,0.2003,nn,nn00570819,2016-12-29T02:38:24.749Z,"29km WSW of Hawthorne, Nevada",earthquake,,2.6,0.21,11,reviewed,nn,nn
2016-12-28T09:19:57.471Z,38.3435,-118.9156,8.4,3,ml,19,108.89,0.164,0.1474,nn,nn00570745,2016-12-29T05:46:47.388Z,"29km ENE of Bridgeport, California",earthquake,,3.2,0.09,2,reviewed,nn,nn
2016-12-28T09:18:19.510Z,38.4056,-118.9159,10.4,2.8,ml,10,111.63,0.129,0.1345,nn,nn00571322,2016-12-29T22:36:26.628Z,"28km WSW of Hawthorne, Nevada",earthquake,,3.8,0,1,reviewed,nn,nn
2016-12-28T09:13:47.251Z,38.3782,-118.8963,8.4,5.5,ml,32,88.13,0.13,0.2001,nn,nn00570744,2016-12-30T19:46:24.473Z,"26km SW of Hawthorne, Nevada",earthquake,,2,0.26,17,reviewed,nn,nn
2016-12-28T09:11:37.293Z,38.3857,-118.9044,9.6,2.8,ml,19,56.77,0.13,0.1316,nn,nn00570741,2016-12-29T22:14:31.297Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.6,0.28,14,reviewed,nn,nn
2016-12-28T09:08:58.311Z,38.3706,-118.9023,9.1,3.2,ml,28,48.77,0.138,0.1637,nn,nn00570738,2016-12-29T22:11:02.996Z,"29km SW of Hawthorne, Nevada",earthquake,,2,0.33,17,reviewed,nn,nn
2016-12-28T08:57:20.058Z,38.3626,-118.9096,9.1,3.8,ml,36,41.94,0.147,0.1822,nn,nn00570729,2016-12-29T21:50:03.631Z,"30km SW of Hawthorne, Nevada",earthquake,,1.6,0.27,22,reviewed,nn,nn
2016-12-28T08:50:33.040Z,38.3894,-118.8994,10.2,2.6,ml,18,88.9,0.125,0.161,nn,nn00570727,2016-12-29T02:37:06.270Z,"28km WSW of Hawthorne, Nevada",earthquake,,2.5,0.34,8,reviewed,nn,nn
2016-12-28T08:48:58.825Z,38.3904,-118.8975,10.1,3.5,ml,12,57.27,0.123,0.1432,nn,nn00570726,2016-12-29T02:41:09.435Z,"28km WSW of Hawthorne, Nevada",earthquake,,3.1,0.32,7,reviewed,nn,nn
2016-12-28T08:42:38.702Z,38.3917,-118.9205,8.1,2.7,ml,18,91.44,0.138,0.1682,nn,nn00570722,2016-12-29T02:36:56.539Z,"29km WSW of Hawthorne, Nevada",earthquake,,1.8,0.41,9,reviewed,nn,nn
2016-12-28T08:41:57.135Z,38.383,-118.8952,10.1,2.5,ml,19,66.72,0.126,0.142,nn,nn00570721,2016-12-29T02:36:54.176Z,"28km WSW of Hawthorne, Nevada",earthquake,,2,0.45,12,reviewed,nn,nn
2016-12-28T08:39:37.371Z,38.3998,-118.9199,9.4,2.8,ml,16,92.63,0.134,0.13,nn,nn00570718,2016-12-29T02:36:51.310Z,"29km WSW of Hawthorne, Nevada",earthquake,,3.3,0.43,10,reviewed,nn,nn
2016-12-28T08:38:12.800Z,18.6732,-65.2388,60,2.7,Md,4,288,0.36561432,0.1,pr,pr16363000,2016-12-28T11:42:25.725Z,"41km N of Culebra, Puerto Rico",earthquake,2,1.6,0,4,reviewed,pr,pr
2016-12-28T08:36:47.138Z,38.3768,-118.9088,7.8,2.6,ml,16,89.54,0.138,0.1866,nn,nn00570716,2016-12-29T21:23:38.022Z,"29km WSW of Hawthorne, Nevada",earthquake,,1.8,0.28,10,reviewed,nn,nn
