time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-20T13:01:00.500Z,18.6387,-66.225,70,2.5,Md,17,201.6,0.32968171,0.21,pr,pr16325003,2016-11-20T13:36:48.738Z,"20km NNE of Dorado, Puerto Rico",earthquake,1.3,1.2,0,15,reviewed,pr,pr
2016-11-20T10:45:11.950Z,-44.1853,39.0536,13.74,4.6,mb,,69,17.816,0.29,us,us10007av0,2016-11-20T11:02:25.040Z,"Prince Edward Islands region",earthquake,12.8,5.1,0.117,22,reviewed,us,us
2016-11-20T10:14:00.269Z,60.2191,-147.1831,6.8,2.6,ml,,,,0.73,ak,ak14369888,2016-11-20T10:31:11.077Z,"86km WSW of Cordova, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-11-20T09:44:44.780Z,36.0091667,-117.805,1.46,2.74,ml,34,43,0.0268,0.11,ci,ci37745464,2016-11-21T17:39:12.130Z,"12km NE of Little Lake, CA",earthquake,0.12,0.15,0.147,90,reviewed,ci,ci
2016-11-20T09:08:03.000Z,-44.3051,39.0717,14.03,5.1,mb,,52,15.654,1,us,us10007aui,2016-11-20T09:23:21.508Z,"Prince Edward Islands region",earthquake,11.1,4,0.119,23,reviewed,us,us
2016-11-20T08:41:49.200Z,19.2427,-67.3035,8,3.3,Md,13,277.2,0.79141577,0.33,pr,pr16325002,2016-11-20T09:09:53.763Z,"85km NNW of San Antonio, Puerto Rico",earthquake,4.2,6.4,0,10,reviewed,pr,pr
2016-11-20T06:52:47.490Z,-42.5678,173.5123,16.91,4.5,mb,,128,0.153,0.65,us,us10007ath,2016-11-20T20:15:10.040Z,"22km SW of Kaikoura, New Zealand",earthquake,2.9,4.7,0.121,20,reviewed,us,us
2016-11-20T05:06:33.300Z,51.629,-172.3513,10,4.3,mb,,187,1.927,0.72,us,us10007asx,2016-11-20T05:24:50.040Z,"121km SW of Amukta Island, Alaska",earthquake,10.6,2,0.086,38,reviewed,us,us
2016-11-20T03:19:56.120Z,-44.3541,39.1473,10,5.1,mb,,50,15.727,1.02,us,us10007asg,2016-11-20T03:39:21.040Z,"Prince Edward Islands region",earthquake,12.5,1.9,0.073,61,reviewed,us,us
2016-11-20T02:08:04.710Z,-44.2611,38.8492,10,4.8,mb,,52,17.833,0.6,us,us10007art,2016-11-20T03:17:11.040Z,"Prince Edward Islands region",earthquake,13.5,0.5,0.107,27,reviewed,us,us
